feature,importance
CSP_EscolaridadPadre,0.17686138079033473
V195B,0.09728915258012036
zscoretalla1,0.087417712247968
BMI1,0.02691391969103032
zscoretalla0,0.02466862495063012
zscorePC1,0.021262031484255157
CP_TallaMadre,0.0210929232571692
zscoreBMI1,0.020538556119049044
zscorepeso0,0.019158588750075523
zscorepesotalla0,0.01860436488799632
BMImadre,0.01785810585309976
CP_TallaPadre,0.01783027068833092
zscorepeso1,0.017771033449848483
V196B,0.01764495016211185
pesotalla0,0.016555655984807394
zscorePC0,0.014845907482421308
BMIpadre,0.014476565108660982
percapindicfinal,0.013986507913593202
V196C,0.01290591242271514
gananciatallanacertallaentradaPMC,0.012705713615705957
gananciapesonacerpesoentradaPMChosp,0.012451895769804266
ERN_Peso,0.012243066910654105
HD_DiasURN,0.011954557235917722
CP_PesoPadre,0.011704338823129315
HD_PesoSalida,0.010557103462234194
CP_edadmaterna,0.010366939881943848
ANOCAT,0.010340977791664114
gananciapesonacerpesoentradaPMC,0.010312334473628518
Sistemadeaseguramiento,0.010064619218956409
ERN_Sexo,0.010049356002986693
CP_TP_Orina,0.009928808417605703
HD_TotalDiasHospital,0.00966303550998464
CP_TotalCPN,0.009599513819144305
EGEnt,0.009165593016913942
HD_DiasUCI,0.00820170432731788
CP_PesoMadre,0.00818880607535928
CP_NumEcografias,0.008020024838684121
Sufrimientofetalcronico,0.0077101901558158025
V196D,0.007570822450923451
CSP_IngresoMensual,0.00649744496978173
ERN_PC,0.006221481109794136
CSP_EscolaridadMadre,0.005241265525234086
ERN_Talla0,0.004490120940878977
ecocerebral,0.004350287874265485
ERN_A_1min,0.0043254294389396845
EG1,0.004321272457368908
primipara,0.003981734974415878
HD_DiasVenMecanica,0.003604077715554445
CSP_SituacionLaboralMadre,0.0034511062507781003
primariamadre,0.003042877639813277
HD_DiasOxigeno,0.003037303185445039
Iden_embarazoMultiple,0.002865563488704101
ERN_Ballard,0.0028627024243517464
ERN_A_5min,0.002858690355236258
V207,0.002760070290222773
CP_SA_EnfRespiratoria,0.002572119030144253
HD_DiasAlimentacionPar,0.0023195671176414225
indicadorHICentrada,0.002087455615352097
HD_DiasVenNoInvasiva,0.001892137461166083
PA_TipoParto,0.0018839758119205219
HD_C_OxigenoDependencia,0.0018777088861082784
ecocat,0.0018109863510083377
CP_SA_RPM,0.0017711096268671397
HD_TipoAlimentacionS,0.001658133505751155
periodosanalisis,0.0016355937649169033
INFECCIONOSOCOMIAL,0.0015775396566151765
PA_Monitoreo,0.0015300892725693457
CP_MesInicCP,0.0014735086542923363
V205,0.001462401832652014
HD_ExamenesEcografiacerebral,0.0014514884395338294
CP_SA_InfUrinaria,0.001445000225235258
PA_SufrimientoFetalAgudo,0.0013355041139317598
CSP_Menores5vivenMadre,0.0013285646084613644
PA_ComplicacionsPartoMultiples,0.0013198603206244098
CP_SA_Preclampsia,0.0013151799791925663
ERN_A_10min,0.0013104954432133125
