outcome,fase,AUC_test,Sens_test,Spec_test,n_test,n_pos_test
Stunting,F0_Prenatal_Parto,0.6389,0.5403,0.6462,6191,1525
Stunting,F1_Nacimiento,0.7238,0.6203,0.6914,6191,1525
Stunting,F2_Hospitalizacion,0.7251,0.6262,0.6937,6191,1525
Stunting,F3_40semanas,0.7577,0.6275,0.7514,6191,1525
Stunting,F4_3meses,0.8079,0.68,0.7718,6191,1525
Stunting,F5_6meses,0.8858,0.7803,0.8148,6191,1525
Stunting,F6_9meses,0.9229,0.8177,0.8478,6191,1525
Bajo_peso,F0_Prenatal_Parto,0.6086,0.4043,0.7418,5951,700
Bajo_peso,F1_Nacimiento,0.739,0.5543,0.768,5951,700
Bajo_peso,F2_Hospitalizacion,0.739,0.5386,0.7863,5951,700
Bajo_peso,F3_40semanas,0.7496,0.5271,0.8191,5951,700
Bajo_peso,F4_3meses,0.8617,0.6729,0.857,5951,700
Bajo_peso,F5_6meses,0.9283,0.76,0.9095,5951,700
Bajo_peso,F6_9meses,0.9586,0.8343,0.9392,5951,700
Wasting,F0_Prenatal_Parto,0.5428,0.1509,0.8836,5950,265
Wasting,F1_Nacimiento,0.6842,0.3698,0.8718,5950,265
Wasting,F2_Hospitalizacion,0.6908,0.3396,0.8788,5950,265
Wasting,F3_40semanas,0.7123,0.3396,0.9015,5950,265
Wasting,F4_3meses,0.8124,0.4868,0.8967,5950,265
Wasting,F5_6meses,0.8931,0.6302,0.9214,5950,265
Wasting,F6_9meses,0.911,0.7019,0.9411,5950,265
