feature,mean_abs_shap
zscoretalla0,0.3973015361740687
zscorepeso0,0.23497016052272945
CP_TallaMadre,0.15243123080292315
ERN_Peso,0.1254098853004174
CP_TallaPadre,0.1180817477481775
ERN_Sexo,0.11357699556975666
HD_PesoSalida,0.09385886527813361
CSP_IngresoMensual,0.06616373203986836
primipara,0.05790616285337245
CP_PesoPadre,0.05479176385015667
HD_TotalDiasHospital,0.0522991103015205
HD_TipoAlimentacionS,0.05154395396221027
ERN_Talla,0.04968308241191858
PA_NumDosisCorticoides,0.042730987114565494
RCIUtalla,0.04109236963943029
toxemia,0.03821441460677129
Iden_embarazoMultiple,0.03627606859015999
corticodosis,0.031857605553712295
CP_PesoMadre,0.03077209789325684
RCIUpesoytallanacer,0.02963433001145198
zscorePC0,0.028060922062198894
zscorepesotalla0,0.02777541826788324
HD_DiasOxigeno,0.02700262708016016
HD_DiasURN,0.026807701504055995
CP_tallamadremetro,0.026705275468370444
gestasalsindecimales,0.026421865394477724
PA_DiasHospiMadre,0.026154696495738587
CP_SA_Preclampsia,0.023715548107280895
HD_UltiValorHematocrito,0.02310150037236363
CSP_SituaPareja,0.020365380171829008
Sistemadeaseguramiento,0.01954098963045534
CP_ARO,0.01906249430477515
BMImadre,0.018718117251936325
ERN_Talla0,0.01849464825099849
CP_edadmaterna,0.018430694916838224
CP_MesInicCP,0.017818755715788944
corticoprenatalmenos34,0.017417446641011705
ERN_PC,0.01536933253266979
CSP_NutricionFam,0.015273856566697342
HD_DiasUCI,0.014904303889722022
CSP_SituacionLaboralMadre,0.014675588173721077
HD_ValorMasAltoBilirubina,0.013070487933832281
ERN_A_5min,0.01243918268514596
CP_TotalCPN,0.012292627240313922
HD_C_HemorragiaIntra,0.011855559316731662
ERN_A_10min,0.011489481873715604
CSP_EscolaridadPadre,0.010923345192554597
RCIUpeso,0.009965388536880053
HD_C_Ictericia,0.009801772383903173
ALIMENTAPARENTERAL,0.009646782981537254
ERN_Ballard,0.009417106949146813
HD_DiasVenMecanica,0.009377105189314928
CSP_EscolaridadMadre,0.008781962538099937
ERN_A_1min,0.008681455365274902
HD_DiasFototerapia,0.008385195116668477
tipoventilacion,0.007543617106176837
PA_TipoParto,0.00740860078054641
HD_C_Hipoglicemia,0.007345152716030767
CP_rhMadre,0.007203587795922605
trimestre,0.007026014015136709
HD_DiasCanulaNasa,0.00668521213756253
zscoretalla0cat,0.006309203603143097
CSP_SituacionLaboralPadre,0.00610667603801262
CP_SA_InfUrinaria,0.005846935389135227
pesocat,0.005756658774102936
PA_ComplicacionsPartoPreeclampsia,0.005617012330499584
problemaneurologico,0.0054659002937890765
HD_CicloAntibio,0.00459487228328057
gestacat,0.004448870294749988
CP_SA_APP,0.004358263890910372
CSP_EmbarazoDeseado,0.004313654941492104
HD_DiasVenNoInvasiva,0.0038980974488462164
HD_DosisSurfactante,0.003875697733044261
INFECCIONOSOCOMIAL,0.003752235482851972
indicadorHICentrada,0.0036220193539754676
Nearterm,0.0035651224227936026
HD_C_OxigenoDependencia,0.0034730556510072716
apgarcat5,0.0033867590292688495
anoxia5mn,0.0033593819502739006
HD_NumTrasSanguineas,0.0031811537051591875
HD_C_Convulsiones,0.0031348730732469127
menosde31sem,0.0028482468078715223
apgarcat1,0.0027981138156919928
CP_MadreAlcohol,0.002716047053333871
UCI,0.002637416641516409
HD_C_Apnea,0.0025275577580799037
CP_SA_Sangrado,0.0024614500432270344
surfactante,0.0022451786242365817
cesarea,0.0022026620940146266
ERN_sepsis,0.0020154794932783016
edadmatcat,0.0018889071921166965
zscorepesotalla0cat,0.00171066377554533
CP_SA_Anemia,0.0016878951012782647
BPN,0.0014101010100584905
gestasal,0.0011135598627291133
zscorepeso0cat,0.001007482908929609
CP_MadreDrogas,0.0009155528113114909
BMImadrecat,0.0008324253137113279
anemiamadre,0.000682358610969897
ERN_LubchencoFenton,0.000626523996650374
SGAprema,0.0005898390264989868
CP_MadreFumo,0.0004801236020941215
HD_C_DisplasiaBronco,0.0004413982035513367
CSP_TipoVivienda,0.0003310994080137486
RCIUPC,0.00029422382401064556
zscorePC0cat,0.00028339376370206714
PESO1500G,0.0
