feature,importance
CSP_EscolaridadPadre,0.1773104892630634
V195B,0.09839409026891406
zscoretalla1,0.08662375609633599
BMI1,0.026417865242562483
zscoretalla0,0.02572993399161817
zscorePC1,0.02064450204978745
CP_TallaMadre,0.02064413501295733
zscorepeso0,0.019656760514918614
zscoreBMI1,0.019410683284717824
BMImadre,0.01861017787745966
CP_TallaPadre,0.017909453882731696
zscorepeso1,0.01748709263384386
zscorepesotalla0,0.017338886295120853
V196B,0.016888264623708047
pesotalla0,0.016849789158737798
zscorePC0,0.0147292673585
percapindicfinal,0.014091755746522204
gananciatallanacertallaentradaPMC,0.013725148294159027
HD_DiasURN,0.013338237418695604
BMIpadre,0.013103177131449048
V196C,0.012701436870094817
ERN_Peso,0.012472618029488729
gananciapesonacerpesoentradaPMChosp,0.012138734206364696
ANOCAT,0.011704447658064127
HD_PesoSalida,0.011464877718810789
CP_edadmaterna,0.011285095007255103
CP_PesoPadre,0.010893065334844593
CP_TotalCPN,0.01063654730003131
Sistemadeaseguramiento,0.009716637041455964
gananciapesonacerpesoentradaPMC,0.009518779096973282
ERN_Sexo,0.009385742923067058
CP_TP_Orina,0.009365727500482753
EGEnt,0.009080750375518932
HD_TotalDiasHospital,0.008820879563774892
V196D,0.008749282381486102
CP_NumEcografias,0.008526110359235874
HD_DiasUCI,0.00848323548461198
Sufrimientofetalcronico,0.007679186459720265
CP_PesoMadre,0.0075411493388670495
CSP_IngresoMensual,0.006402326616410732
ERN_PC,0.006394095378876597
CSP_EscolaridadMadre,0.005055668404559427
ERN_A_1min,0.00477439105655803
ERN_Talla0,0.004299045475743704
EG1,0.003951731056615565
ecocerebral,0.003919339918393355
primipara,0.0038558845745491955
ERN_Ballard,0.0033914207461501794
CSP_SituacionLaboralMadre,0.003233776021568815
HD_DiasVenMecanica,0.0031882837188205735
primariamadre,0.003012039976139624
CP_SA_EnfRespiratoria,0.003005215170821318
ERN_A_5min,0.002938955813996982
HD_DiasOxigeno,0.0028211772126626755
Iden_embarazoMultiple,0.002729502136197047
V207,0.0025322552198177428
HD_DiasAlimentacionPar,0.0024089893518397334
indicadorHICentrada,0.002303382328180824
PA_TipoParto,0.0019094853253504272
CP_SA_Preclampsia,0.0018548992430342337
CSP_numPersVivenIngMen,0.0017086947284504527
PA_Monitoreo,0.0016740617518054193
HD_DiasVenNoInvasiva,0.0016684778103069112
HD_ExamenesEcografiacerebral,0.0016652559125324808
CP_SA_InfUrinaria,0.0016649271958261709
PA_SufrimientoFetalAgudo,0.0016003038408017249
HD_C_OxigenoDependencia,0.0015941852578194818
CP_SA_RPM,0.0015861845544681103
ecocat,0.0014920764849666007
HD_TipoAlimentacionS,0.0014784033786828753
CSP_Menores5vivenMadre,0.0014606895609283435
V205,0.001405120536267835
INFECCIONOSOCOMIAL,0.001373940790682488
CSP_DistanciaVivienda,0.0012999495730911161
HD_ExamenesEcocardiograma,0.001286070863641501
ERN_A_10min,0.0012855537205213523
edadmatcat,0.0012695093206803918
periodosanalisis,0.0012466277564451038
CSP_EmbarazoDeseado,0.001232597498535716
HD_C_ExamenNeurologico,0.0011917256673681417
tipoventilacion,0.0011638261610691196
CP_TP_Rubeola,0.0011301865878824927
CSP_SituaPareja,0.0011104611080891523
HD_DosisSurfactante,0.0010996614070790081
PA_ComplicacionsPartoMultiples,0.0010433347272072822
V206,0.001037302416765297
PA_RitmoCardiaco,0.0010207073967498231
embbajoplanificacion,0.0010128146616551921
CP_MesInicCP,0.0010110352723627968
CSP_SituacionLaboralPadre,0.001006365394167378
pdpcat,0.0009292638866693163
CP_SA_Sangrado,0.0009203870008640488
CSP_NutricionFam,0.000914073572140056
CP_Hormonales,0.0008965240417459207
pesentcat,0.0008960576279922675
HD_DiasAlojamiento,0.0008379896935086501
ERN_sepsis,0.00082483398178892
HD_CicloAntibio,0.0008205644370722256
CP_TP_Toxoplasmosis,0.0008104068759935534
surfactante,0.000785787495501992
V201,0.0007752855142275958
CP_SA_APP,0.0006650416384534806
V209,0.0006594168253981756
CP_DIU,0.0006474436901308331
UCIsinsoporteventilatorio,0.000639364546281622
CP_TP_Sifilis,0.0006265903187212545
CSP_AyudaPerm1mes,0.0005830466328887675
HD_NumTrasSanguineas,0.0005767662490692726
RCIUpesoytallanacer,0.0005657258965207492
V204A,0.0005500474808343268
RCIUpeso,0.0005355371555912622
V208,0.0005345146552280356
HD_C_Ictericia,0.0005323940372045985
recibioantibioticos,0.0005255634130929694
CP_SA_InfGineco,0.0004859658992652564
problemaneurologico,0.0004811921716179403
ERN_LubchencoFenton,0.0004759883414605674
ERN_AdaptNeonatal,0.00045738889126514207
BMIpadrecat,0.0004441732166915472
gesentcat,0.00042571257338938336
ventilacionsola,0.0004233021848406891
controlcat,0.00041289302995822097
zscoretalla0cat,0.0003999625835258074
zscorePC0cat,0.0003743603518768594
zscoretalla1cat,0.00035912434888450543
PA_ComplicacionsPartoPlacentaPrevia,0.0003462167809320791
cpapsola,0.00034451037259834554
zscorepeso1cat,0.00032615996492381025
anoxia5mn,0.00032059111975178174
PA_LiqAmnioticoMeconiado,0.0002986834312229464
PESO1500G,0.0002962488246141924
HD_C_Apnea,0.0002854060824123789
BPN,0.0002763454913562825
ninosmenosde5anos,0.0002730666940920124
PA_LugarNacimiento,0.0002356770273234169
CP_SA_Anemia,0.00021770083676203293
HD_C_Hipoglicemia,0.00017964582855021865
RCIUPC,0.00017192487253466917
Nearterm,0.0001711837899361758
trimestre,0.00016816481951433996
V199,0.0001448849402628322
RCIUtalla,0.000135909994428711
BMImadrecat,0.000119193275230544
zscorepesotalla1cat,0.00011276603256411092
menosde31sem,0.00011239390759229915
apgarcat1,0.00010284657704728283
PA_AtendioParto,9.613825017073404e-05
HD_C_HemorragiaIntra,9.535488277578194e-05
V202,9.25375450436106e-05
CP_MadreAlcohol,8.61885220468774e-05
V200,8.533509391644932e-05
RCEUFentonentrada,6.926094976878849e-05
CP_TP_HepatitisB,6.851971087090552e-05
ventilacionmixta,6.543975888820463e-05
menosde1001,3.9329484084430895e-05
CP_TP_HIV,0.0
CP_MadreFumo,0.0
CP_EstuvoHosp,0.0
HD_CiclosUltimaLinea,0.0
zscorepeso0cat,0.0
PA_EstActualMadre,0.0
zscorepesotalla0cat,0.0
HD_DiasFototerapia,0.0
HD_C_DisplasiaBronco,0.0
HD_C_Convulsiones,0.0
apgarcat5,0.0
tuvotransfusiones,0.0
ALIMENTAPARENTERAL,0.0
UCI,0.0
zscorePC1cat,0.0
hospenURN,0.0
